freq	freq_mln	orth_pres	orth_past	ipa_pres	ipa_past	Infl
5	0	disarm	disarmed	dIsA:m	dIsA:md	reg
1	0	disarrange	disarranged	dIs@reIndZ	dIs@reIndZd	reg
1	0	disassociate	disassociated	dIs@s@USIeIt	dIs@s@USIeItId	reg
5	0	disband	disbanded	dIsb&nd	dIsb&ndId	reg
1	0	disbar	disbarred	dIsbA:r*	dIsbA:d	reg
2	0	disbelieve	disbelieved	dIsbIli:v	dIsbIli:vd	reg
2	0	disburse	disbursed	dIsb3:s	dIsb3:st	reg
36	2	discard	discarded	dIskA:d	dIskA:dId	reg
5	0	discern	discerned	dIs3:n	dIs3:nd	reg
20	1	discharge	discharged	dIstSA:dZ	dIstSA:dZd	reg
25	1	discipline	disciplined	dIsIplIn	dIsIplInd	reg
2	0	disclaim	disclaimed	dIskleIm	dIskleImd	reg
15	1	disclose	disclosed	dIskl@Uz	dIskl@Uzd	reg
6	0	discolour	discoloured	dIskVl@r*	dIskVl@d	reg
2	0	discomfit	discomfited	dIskVmfIt	dIskVmfItId	reg
1	0	discompose	discomposed	dIsk@mp@Uz	dIsk@mp@Uzd	reg
8	0	disconcert	disconcerted	dIsk@ns3:t	dIsk@ns3:tId	reg
4	0	disconnect	disconnected	dIsk@nEkt	dIsk@nEktId	reg
4	0	discontinue	discontinued	dIsk@ntInju:	dIsk@ntInju:d	reg
9	1	discount	discounted	dIskaUnt	dIskaUntId	reg
28	2	discourage	discouraged	dIskVrIdZ	dIskVrIdZd	reg
293	16	discover	discovered	dIskVv@r*	dIskVv@d	reg
8	0	discredit	discredited	dIskrEdIt	dIskrEdItId	reg
6	0	discriminate	discriminated	dIskrImIneIt	dIskrImIneItId	reg
192	11	discuss	discussed	dIskVs	dIskVst	reg
1	0	disdain	disdained	dIsdeIn	dIsdeInd	reg
2	0	disembark	disembarked	dIsImbA:k	dIsImbA:kt	reg
2	0	disembowel	disembowelled	dIsImbaU@l	dIsImbaU@ld	reg
3	0	disenchant	disenchanted	dIsIntSA:nt	dIsIntSA:ntId	reg
1	0	disenfranchise	disenfranchised	dIsInfr&ntSaIz	dIsInfr&ntSaIzd	reg
3	0	disengage	disengaged	dIsIngeIdZ	dIsIngeIdZd	reg
2	0	disentangle	disentangled	dIsInt&Ngl,	dIsInt&Ngl,d	reg
6	0	disfigure	disfigured	dIsfIg@r*	dIsfIg@d	reg
1	0	disgorge	disgorged	dIsgO:dZ	dIsgO:dZd	reg
6	0	disgrace	disgraced	dIsgreIs	dIsgreIst	reg
34	2	disguise	disguised	dIsgaIz	dIsgaIzd	reg
18	1	disgust	disgusted	dIsgVst	dIsgVstId	reg
2	0	dishearten	disheartened	dIshA:tn,	dIshA:tn,d	reg
3	0	dish	dished	dIS	dISt	reg
1	0	dishonour	dishonoured	dIsOn@r*	dIsOn@d	reg
3	0	disillusion	disillusioned	dIsIlu:Zn,	dIsIlu:Zn,d	reg
2	0	disincline	disinclined	dIsInklaIn	dIsInklaInd	reg
2	0	disinfect	disinfected	dIsInfEkt	dIsInfEktId	reg
3	0	disinherit	disinherited	dIsInhErIt	dIsInhErItId	reg
10	1	disintegrate	disintegrated	dIsIntIgreIt	dIsIntIgreItId	reg
1	0	disinter	disinterred	dIsInt3:r*	dIsInt3:d	reg
1	0	disjoint	disjointed	dIsdZOInt	dIsdZOIntId	reg
43	2	dislike	disliked	dIslaIk	dIslaIkt	reg
3	0	dislocate	dislocated	dIsl@UkeIt	dIsl@UkeItId	reg
5	0	dislodge	dislodged	dIslOdZ	dIslOdZd	reg
8	0	dismantle	dismantled	dIsm&ntl,	dIsm&ntl,d	reg
13	1	dismay	dismayed	dIsmeI	dIsmeId	reg
4	0	dismember	dismembered	dIsmEmb@r*	dIsmEmb@d	reg
79	4	dismiss	dismissed	dIsmIs	dIsmIst	reg
3	0	dismount	dismounted	dIsmaUnt	dIsmaUntId	reg
3	0	disobey	disobeyed	dIs@beI	dIs@beId	reg
6	0	disorder	disordered	dIsO:d@r*	dIsO:d@d	reg
7	0	disorganize	disorganized	dIsO:g@naIz	dIsO:g@naIzd	reg
2	0	disorientate	disorientated	dIsO:rI@nteIt	dIsO:rI@nteItId	reg
3	0	disorient	disoriented	dIsO:rI@nt	dIsO:rI@ntId	reg
3	0	disown	disowned	dIs@Un	dIs@Und	reg
1	0	disparage	disparaged	dIsp&rIdZ	dIsp&rIdZd	reg
19	1	dispatch	dispatched	dIsp&tS	dIsp&tSt	reg
6	0	dispel	dispelled	dIspEl	dIspEld	reg
10	1	dispense	dispensed	dIspEns	dIspEnst	reg
25	1	disperse	dispersed	dIsp3:s	dIsp3:st	reg
4	0	dispirit	dispirited	dIspIrIt	dIspIrItId	reg
17	1	displace	displaced	dIspleIs	dIspleIst	reg
60	3	display	displayed	dIspleI	dIspleId	reg
12	1	displease	displeased	dIspli:z	dIspli:zd	reg
1	0	disport	disported	dIspO:t	dIspO:tId	reg
24	1	dispose	disposed	dIsp@Uz	dIsp@Uzd	reg
2	0	dispossess	dispossessed	dIsp@zEs	dIsp@zEst	reg
4	0	disprove	disproved	dIspru:v	dIspru:vd	reg
13	1	dispute	disputed	dIspju:t	dIspju:tId	reg
5	0	disqualify	disqualified	dIskwOlIfaI	dIskwOlIfaId	reg
1	0	disquiet	disquieted	dIskwaI@t	dIskwaI@tId	reg
9	1	disregard	disregarded	dIsrIgA:d	dIsrIgA:dId	reg
11	1	disrupt	disrupted	dIsrVpt	dIsrVptId	reg
14	1	dissatisfy	dissatisfied	dIss&tIsfaI	dIss&tIsfaId	reg
2	0	dissect	dissected	dIsEkt	dIsEktId	reg
1	0	dissemble	dissembled	dIsEmbl,	dIsEmbl,d	reg
3	0	disseminate	disseminated	dIsEmIneIt	dIsEmIneItId	reg
1	0	dissent	dissented	dIsEnt	dIsEntId	reg
9	1	dissipate	dissipated	dIsIpeIt	dIsIpeItId	reg
2	0	dissociate	dissociated	dIs@USIeIt	dIs@USIeItId	reg
28	2	dissolve	dissolved	dIzOlv	dIzOlvd	reg
3	0	dissuade	dissuaded	dIsweId	dIsweIdId	reg
2	0	distance	distanced	dIst@ns	dIst@nst	reg
1	0	distemper	distempered	dIstEmp@r*	dIstEmp@d	reg
7	0	distend	distended	dIstEnd	dIstEndId	reg
6	0	distil	distilled	dIstIl	dIstIld	reg
22	1	distinguish	distinguished	dIstINgwIS	dIstINgwISt	reg
35	2	distort	distorted	dIstO:t	dIstO:tId	reg
12	1	distract	distracted	dIstr&kt	dIstr&ktId	reg
31	2	distress	distressed	dIstrEs	dIstrEst	reg
52	3	distribute	distributed	dIstrIbju:t	dIstrIbju:tId	reg
5	0	distrust	distrusted	dIstrVst	dIstrVstId	reg
66	4	disturb	disturbed	dIst3:b	dIst3:bd	reg
1	0	disunite	disunited	dIsju:naIt	dIsju:naItId	reg
1	0	ditch	ditched	dItS	dItSt	reg
13	1	dive	dived	daIv	daIvd	reg
2	0	diverge	diverged	daIv3:dZ	daIv3:dZd	reg
5	0	diversify	diversified	daIv3:sIfaI	daIv3:sIfaId	reg
18	1	divert	diverted	daIv3:t	daIv3:tId	reg
141	8	divide	divided	dIvaId	dIvaIdId	reg
2	0	divine	divined	dIvaIn	dIvaInd	reg
42	2	divorce	divorced	dIvO:s	dIvO:st	reg
2	0	divulge	divulged	daIvVldZ	daIvVldZd	reg
3	0	dock	docked	dOk	dOkt	reg
2	0	dock	docked	dOk	dOkt	reg
1	0	docket	docketed	dOkIt	dOkItId	reg
3	0	doctor	doctored	dOkt@r*	dOkt@d	reg
13	1	document	documented	dOkjUmEnt	dOkjUmEntId	reg
5	0	dodge	dodged	dOdZ	dOdZd	reg
1	0	doff	doffed	dOf	dOft	reg
4	0	dog	dogged	dOg	dOgd	reg
12	1	domesticate	domesticated	d@UmEstIkeIt	d@UmEstIkeItId	reg
1	0	domicile	domiciled	dOmIsaIl	dOmIsaIld	reg
85	5	dominate	dominated	dOmIneIt	dOmIneItId	reg
10	1	donate	donated	d@UneIt	d@UneItId	reg
5	0	don	donned	dOn	dOnd	reg
1	0	doodle	doodled	du:dl,	du:dl,d	reg
37	2	doom	doomed	du:m	du:md	reg
3	0	dope	doped	d@Up	d@Upt	reg
2	0	dose	dosed	d@Us	d@Ust	reg
18	1	dot	dotted	dOt	dOtId	reg
1	0	double-check	double-checked	dVbl,tSEk	dVbl,tSEkt	reg
1	0	double-cross	double-crossed	dVbl,krOs	dVbl,krOst	reg
37	2	double	doubled	dVbl,	dVbl,d	reg
41	2	doubt	doubted	daUt	daUtId	reg
4	0	douse	doused	daUs	daUst	reg
1	0	dive	dove	daIv	d@Uv	irreg
1	0	dovetail	dovetailed	dVvteIl	dVvteIld	reg
8	0	down	downed	daUn	daUnd	reg
1	0	downgrade	downgraded	daUngreId	daUngreIdId	reg
11	1	doze	dozed	d@Uz	d@Uzd	reg
14	1	draft	drafted	drA:ft	drA:ftId	reg
81	5	drag	dragged	dr&g	dr&gd	reg
43	2	drain	drained	dreIn	dreInd	reg
6	0	dramatize	dramatized	dr&m@taIz	dr&m@taIzd	reg
155	9	drink	drank	drINk	dr&Nk	irreg
21	1	drape	draped	dreIp	dreIpt	reg
3	0	drawl	drawled	drO:l	drO:ld	reg
16	1	dread	dreaded	drEd	drEdId	reg
46	3	dream	dreamed	dri:m	dri:md	reg
15	1	dream	dreamt	dri:m	drEmt	irreg
2	0	dredge	dredged	drEdZ	drEdZd	reg
11	1	drench	drenched	drEntS	drEntSt	reg
219	12	dress	dressed	drEs	drEst	reg
263	15	draw	drew	drO:	dru:	irreg
4	0	dribble	dribbled	drIbl,	drIbl,d	reg
85	5	dry	dried	draI	draId	reg
44	2	drift	drifted	drIft	drIftId	reg
14	1	drill	drilled	drIl	drIld	reg
8	0	drip	dripped	drIp	drIpt	reg
2	0	drone	droned	dr@Un	dr@Und	reg
1	0	drool	drooled	dru:l	dru:ld	reg
8	0	droop	drooped	dru:p	dru:pt	reg
275	15	drop	dropped	drOp	drOpt	reg
279	16	drive	drove	draIv	dr@Uv	irreg
48	3	drown	drowned	draUn	draUnd	reg
2	0	drowse	drowsed	draUz	draUzd	reg
10	1	drug	drugged	drVg	drVgd	reg
7	0	drum	drummed	drVm	drVmd	reg
9	1	dub	dubbed	dVb	dVbd	reg
11	1	duck	ducked	dVk	dVkt	reg
54	3	dig	dug	dIg	dVg	irreg
5	0	dull	dulled	dVl	dVld	reg
3	0	dumbfound	dumbfounded	dVmfaUnd	dVmfaUndId	reg
33	2	dump	dumped	dVmp	dVmpt	reg
1	0	dunk	dunked	dVNk	dVNkt	reg
2	0	dupe	duped	dju:p	dju:pt	reg
8	0	duplicate	duplicated	dju:plIkeIt	dju:plIkeItId	reg
11	1	dust	dusted	dVst	dVstId	reg
6	0	dwarf	dwarfed	dwO:f	dwO:ft	reg
7	0	dwell	dwelt	dwEl	dwElt	irreg
13	1	dwindle	dwindled	dwIndl,	dwIndl,d	reg
15	1	dye	dyed	daI	daId	reg
1	0	dynamite	dynamited	daIn@maIt	daIn@maItId	reg
7	0	earmark	earmarked	I@mA:k	I@mA:kt	reg
69	4	earn	earned	3:n	3:nd	reg
1	0	earth	earthed	3:T	3:Tt	reg
31	2	ease	eased	i:z	i:zd	reg
1	0	eavesdrop	eavesdropped	i:vzdrOp	i:vzdrOpt	reg
2	0	ebb	ebbed	Eb	Ebd	reg
33	2	echo	echoed	Ek@U	Ek@Ud	reg
5	0	eclipse	eclipsed	IklIps	IklIpst	reg
1	0	economize	economized	IkOn@maIz	IkOn@maIzd	reg
2	0	eddy	eddied	EdI	EdId	reg
20	1	edge	edged	EdZ	EdZd	reg
16	1	edit	edited	EdIt	EdItId	reg
32	2	educate	educated	EdZUkeIt	EdZUkeItId	reg
1	0	efface	effaced	IfeIs	IfeIst	reg
10	1	effect	effected	IfEkt	IfEktId	reg
7	0	eject	ejected	IdZEkt	IdZEktId	reg
12	1	elaborate	elaborated	Il&b@reIt	Il&b@reItId	reg
8	0	elapse	elapsed	Il&ps	Il&pst	reg
1	0	elate	elated	IleIt	IleItId	reg
2	0	elbow	elbowed	Elb@U	Elb@Ud	reg
103	6	elect	elected	IlEkt	IlEktId	reg
4	0	electrify	electrified	IlEktrIfaI	IlEktrIfaId	reg
2	0	electrocute	electrocuted	IlEktr@kju:t	IlEktr@kju:tId	reg
12	1	elevate	elevated	ElIveIt	ElIveItId	reg
6	0	elicit	elicited	IlIsIt	IlIsItId	reg
39	2	eliminate	eliminated	IlImIneIt	IlImIneItId	reg
10	1	elongate	elongated	i:lONgeIt	i:lONgeItId	reg
1	0	elope	eloped	Il@Up	Il@Upt	reg
1	0	elucidate	elucidated	Ilu:sIdeIt	Ilu:sIdeItId	reg
7	0	elude	eluded	Ilu:d	Ilu:dId	reg
5	0	emaciate	emaciated	ImeISIeIt	ImeISIeItId	reg
9	1	emancipate	emancipated	Im&nsIpeIt	Im&nsIpeItId	reg
1	0	emasculate	emasculated	Im&skjUleIt	Im&skjUleItId	reg
2	0	embalm	embalmed	ImbA:m	ImbA:md	reg
20	1	embark	embarked	ImbA:k	ImbA:kt	reg
77	4	embarrass	embarrassed	Imb&r@s	Imb&r@st	reg
20	1	embed	embedded	ImbEd	ImbEdId	reg
4	0	embellish	embellished	ImbElIS	ImbElISt	reg
8	0	embitter	embittered	ImbIt@r*	ImbIt@d	reg
2	0	emblazon	emblazoned	ImbleIzn,	ImbleIzn,d	reg
16	1	embody	embodied	ImbOdI	ImbOdId	reg
4	0	embolden	emboldened	Imb@Uld@n	Imb@Uld@nd	reg
5	0	emboss	embossed	ImbOs	ImbOst	reg
34	2	embrace	embraced	ImbreIs	ImbreIst	reg
19	1	embroider	embroidered	ImbrOId@r*	ImbrOId@d	reg
4	0	embroil	embroiled	ImbrOIl	ImbrOIld	reg
124	7	emerge	emerged	Im3:dZ	Im3:dZd	reg
6	0	emigrate	emigrated	EmIgreIt	EmIgreItId	reg
13	1	emit	emitted	ImIt	ImItId	reg
52	3	emphasize	emphasized	Emf@saIz	Emf@saIzd	reg
121	7	employ	employed	ImplOI	ImplOId	reg
8	0	empower	empowered	ImpaU@r*	ImpaU@d	reg
27	2	empty	emptied	EmptI	EmptId	reg
3	0	emulate	emulated	EmjUleIt	EmjUleItId	reg
51	3	enable	enabled	IneIbl,	IneIbl,d	reg
11	1	enact	enacted	In&kt	In&ktId	reg
6	0	enamel	enamelled	In&ml,	In&ml,d	reg
1	0	enamour	enamoured	In&m@r*	In&m@d	reg
2	0	encamp	encamped	Ink&mp	Ink&mpt	reg
3	0	encapsulate	encapsulated	Ink&psjUleIt	Ink&psjUleItId	reg
11	1	encase	encased	InkeIs	InkeIst	reg
21	1	enchant	enchanted	IntSA:nt	IntSA:ntId	reg
8	0	encircle	encircled	Ins3:kl,	Ins3:kl,d	reg
39	2	enclose	enclosed	Inkl@Uz	Inkl@Uzd	reg
2	0	encode	encoded	Enk@Ud	Enk@UdId	reg
4	0	encompass	encompassed	InkVmp@s	InkVmp@st	reg
42	2	encounter	encountered	InkaUnt@r*	InkaUnt@d	reg
145	8	encourage	encouraged	InkVrIdZ	InkVrIdZd	reg
2	0	encroach	encroached	Inkr@UtS	Inkr@UtSt	reg
9	1	encrust	encrusted	InkrVst	InkrVstId	reg
3	0	encumber	encumbered	InkVmb@r*	InkVmb@d	reg
16	1	endanger	endangered	IndeIndZ@r*	IndeIndZ@d	reg
6	0	endeavour	endeavoured	IndEv@r*	IndEv@d	reg
198	11	end	ended	End	EndId	reg
22	1	endorse	endorsed	IndO:s	IndO:st	reg
18	1	endow	endowed	IndaU	IndaUd	reg
21	1	endure	endured	IndjU@r*	IndjU@d	reg
1	0	enervate	enervated	En3:veIt	En3:veItId	reg
2	0	enfeeble	enfeebled	Infi:bl,	Infi:bl,d	reg
2	0	enfold	enfolded	Inf@Uld	Inf@UldId	reg
30	2	enforce	enforced	InfO:s	InfO:st	reg
1	0	enfranchise	enfranchised	Infr&ntSaIz	Infr&ntSaIzd	reg
93	5	engage	engaged	IngeIdZ	IngeIdZd	reg
8	0	engender	engendered	IndZEnd@r*	IndZEnd@d	reg
9	1	engineer	engineered	EndZInI@r*	EndZInI@d	reg
16	1	engrave	engraved	IngreIv	IngreIvd	reg
12	1	engross	engrossed	Ingr@Us	Ingr@Ust	reg
12	1	engulf	engulfed	IngVlf	IngVlft	reg
23	1	enhance	enhanced	InhA:ns	InhA:nst	reg
3	0	enjoin	enjoined	IndZOIn	IndZOInd	reg
180	10	enjoy	enjoyed	IndZOI	IndZOId	reg
25	1	enlarge	enlarged	InlA:dZ	InlA:dZd	reg
1	0	enlighten	enlightened	InlaItn,	InlaItn,d	reg
13	1	enlist	enlisted	InlIst	InlIstId	reg
6	0	enliven	enlivened	InlaIvn,	InlaIvn,d	reg
6	0	enmesh	enmeshed	InmES	InmESt	reg
2	0	ennoble	ennobled	In@Ubl,	In@Ubl,d	reg
20	1	enrage	enraged	InreIdZ	InreIdZd	reg
2	0	enrapture	enraptured	Inr&ptS@r*	Inr&ptS@d	reg
15	1	enrich	enriched	InrItS	InrItSt	reg
7	0	enrol	enroled	Inr@Ul	Inr@Uld	reg
4	0	ensconce	ensconced	InskOns	InskOnst	reg
7	0	enshrine	enshrined	InSraIn	InSraInd	reg
6	0	enslave	enslaved	InsleIv	InsleIvd	reg
1	0	ensnare	ensnared	InsnE@r*	InsnE@d	reg
8	0	ensue	ensued	Insju:	Insju:d	reg
20	1	ensure	ensured	InSO:r*	InSO:d	reg
9	1	entail	entailed	InteIl	InteIld	reg
10	1	entangle	entangled	Int&Ngl,	Int&Ngl,d	reg
194	11	enter	entered	Ent@r*	Ent@d	reg
19	1	entertain	entertained	Ent@teIn	Ent@teInd	reg
4	0	enthral	enthralled	InTrO:l	InTrO:ld	reg
1	0	enthrone	enthroned	InTr@Un	InTr@Und	reg
1	0	enthuse	enthused	InTju:z	InTju:zd	reg
3	0	entice	enticed	IntaIs	IntaIst	reg
104	6	entitle	entitled	IntaItl,	IntaItl,d	reg
1	0	entomb	entombed	Intu:m	Intu:md	reg
9	1	entrance	entranced	IntrA:ns	IntrA:nst	reg
1	0	entrap	entrapped	Intr&p	Intr&pt	reg
1	0	entreat	entreated	Intri:t	Intri:tId	reg
1	0	entrench	entrenched	IntrEntS	IntrEntSt	reg
10	1	entrust	entrusted	IntrVst	IntrVstId	reg
5	0	entwine	entwined	IntwaIn	IntwaInd	reg
2	0	enumerate	enumerated	Inju:m@reIt	Inju:m@reItId	reg
2	0	enunciate	enunciated	InVnsIeIt	InVnsIeItId	reg
7	0	envelop	enveloped	InvEl@p	InvEl@pt	reg
20	1	envy	envied	EnvI	EnvId	reg
25	1	envisage	envisaged	InvIzIdZ	InvIzIdZd	reg
2	0	envision	envisioned	InvIZn,	InvIZn,d	reg
3	0	epitomize	epitomized	IpIt@maIz	IpIt@maIzd	reg
2	0	equalize	equalized	i:kw@laIz	i:kw@laIzd	reg
7	0	equal	equalled	i:kw@l	i:kw@ld	reg
7	0	equate	equated	IkweIt	IkweItId	reg
27	2	equip	equipped	IkwIp	IkwIpt	reg
1	0	equivocate	equivocated	IkwIv@keIt	IkwIv@keItId	reg
4	0	eradicate	eradicated	Ir&dIkeIt	Ir&dIkeItId	reg
5	0	erase	erased	IreIz	IreIzd	reg
27	2	erect	erected	IrEkt	IrEktId	reg
20	1	erode	eroded	Ir@Ud	Ir@UdId	reg
3	0	err	erred	3:r*	3:d	reg
13	1	erupt	erupted	IrVpt	IrVptId	reg
7	0	escalate	escalated	Esk@leIt	Esk@leItId	reg
71	4	escape	escaped	IskeIp	IskeIpt	reg
3	0	eschew	eschewed	IstSu:	IstSu:d	reg
21	1	escort	escorted	IskO:t	IskO:tId	reg
1	0	espy	espied	IspaI	IspaId	reg
4	0	espouse	espoused	IspaUz	IspaUzd	reg
2	0	essay	essayed	EseI	EseId	reg
272	15	establish	established	Ist&blIS	Ist&blISt	reg
3	0	esteem	esteemed	Isti:m	Isti:md	reg
89	5	estimate	estimated	EstImeIt	EstImeItId	reg
4	0	estrange	estranged	IstreIndZ	IstreIndZd	reg
9	1	etch	etched	EtS	EtSt	reg
1	0	etiolate	etiolated	i:tI@UleIt	i:tI@UleItId	reg
1	0	eulogize	eulogized	ju:l@dZaIz	ju:l@dZaIzd	reg
9	1	evacuate	evacuated	Iv&kjUeIt	Iv&kjUeItId	reg
7	0	evade	evaded	IveId	IveIdId	reg
8	0	evaluate	evaluated	Iv&ljUeIt	Iv&ljUeItId	reg
20	1	evaporate	evaporated	Iv&p@reIt	Iv&p@reItId	reg
1	0	even	evened	i:vn,	i:vn,d	reg
6	0	evict	evicted	IvIkt	IvIktId	reg
4	0	evidence	evidenced	EvId@ns	EvId@nst	reg
2	0	evince	evinced	IvIns	IvInst	reg
1	0	eviscerate	eviscerated	IvIs@reIt	IvIs@reItId	reg
12	1	evoke	evoked	Iv@Uk	Iv@Ukt	reg
53	3	evolve	evolved	IvOlv	IvOlvd	reg
8	0	exacerbate	exacerbated	Igz&s@beIt	Igz&s@beItId	reg
3	0	exact	exacted	Igz&kt	Igz&ktId	reg
20	1	exaggerate	exaggerated	Igz&dZ@reIt	Igz&dZ@reItId	reg
1	0	exalt	exalted	IgzO:lt	IgzO:ltId	reg
111	6	examine	examined	Igz&mIn	Igz&mInd	reg
9	1	exasperate	exasperated	Igz&sp@reIt	Igz&sp@reItId	reg
9	1	excavate	excavated	Eksk@veIt	Eksk@veItId	reg
17	1	exceed	exceeded	Iksi:d	Iksi:dId	reg
4	0	excel	excelled	IksEl	IksEld	reg
1	0	except	excepted	IksEpt	IksEptId	reg
46	3	exchange	exchanged	IkstSeIndZ	IkstSeIndZd	reg
2	0	excise	excised	EksaIz	EksaIzd	reg
26	1	excite	excited	IksaIt	IksaItId	reg
40	2	exclaim	exclaimed	IkskleIm	IkskleImd	reg
45	3	exclude	excluded	Iksklu:d	Iksklu:dId	reg
1	0	excommunicate	excommunicated	Eksk@mju:nIkeIt	Eksk@mju:nIkeItId	reg
2	0	excrete	excreted	Ikskri:t	Ikskri:tId	reg
17	1	excuse	excused	Ikskju:z	Ikskju:zd	reg
33	2	execute	executed	EksIkju:t	EksIkju:tId	reg
10	1	exemplify	exemplified	IgzEmplIfaI	IgzEmplIfaId	reg
4	0	exempt	exempted	IgzEmpt	IgzEmptId	reg
29	2	exercise	exercised	Eks@saIz	Eks@saIzd	reg
14	1	exert	exerted	Igz3:t	Igz3:tId	reg
5	0	exhale	exhaled	EksheIl	EksheIld	reg
96	5	exhaust	exhausted	IgzO:st	IgzO:stId	reg
20	1	exhibit	exhibited	IgzIbIt	IgzIbItId	reg
6	0	exhilarate	exhilarated	IgzIl@reIt	IgzIl@reItId	reg
8	0	exhort	exhorted	IgzO:t	IgzO:tId	reg
2	0	exhume	exhumed	Ekshju:m	Ekshju:md	reg
12	1	exile	exiled	EksaIl	EksaIld	reg
117	7	exist	existed	IgzIst	IgzIstId	reg
1	0	exit	exited	EksIt	EksItId	reg
2	0	exonerate	exonerated	IgzOn@reIt	IgzOn@reItId	reg
2	0	exorcize	exorcized	EksO:saIz	EksO:saIzd	reg
48	3	expand	expanded	Iksp&nd	Iksp&ndId	reg
493	27	expect	expected	IkspEkt	IkspEktId	reg
28	2	expel	expelled	IkspEl	IkspEld	reg
8	0	expend	expended	IkspEnd	IkspEndId	reg
119	7	experience	experienced	IkspI@rI@ns	IkspI@rI@nst	reg
7	0	experiment	experimented	IkspErIm@nt	IkspErIm@ntId	reg
7	0	expire	expired	IkspaI@r*	IkspaI@d	reg
294	16	explain	explained	IkspleIn	IkspleInd	reg
38	2	explode	exploded	Ikspl@Ud	Ikspl@UdId	reg
44	2	exploit	exploited	IksplOIt	IksplOItId	reg
22	1	explore	explored	IksplO:r*	IksplO:d	reg
12	1	export	exported	IkspO:t	IkspO:tId	reg
115	6	expose	exposed	Iksp@Uz	Iksp@Uzd	reg
2	0	expostulate	expostulated	IkspOstSUleIt	IkspOstSUleItId	reg
5	0	expound	expounded	IkspaUnd	IkspaUndId	reg
177	10	express	expressed	IksprEs	IksprEst	reg
2	0	expropriate	expropriated	Ekspr@UprIeIt	Ekspr@UprIeItId	reg
1	0	expunge	expunged	IkspVndZ	IkspVndZd	reg
129	7	extend	extended	IkstEnd	IkstEndId	reg
4	0	exterminate	exterminated	Ikst3:mIneIt	Ikst3:mIneItId	reg
3	0	externalize	externalized	Ikst3:n@laIz	Ikst3:n@laIzd	reg
7	0	extinguish	extinguished	IkstINgwIS	IkstINgwISt	reg
2	0	extol	extolled	Ikst@Ul	Ikst@Uld	reg
25	1	extract	extracted	Ikstr&kt	Ikstr&ktId	reg
3	0	extradite	extradited	Ekstr@daIt	Ekstr@daItId	reg
1	0	extrapolate	extrapolated	Ikstr&p@UleIt	Ikstr&p@UleItId	reg
1	0	extricate	extricated	EkstrIkeIt	EkstrIkeItId	reg
2	0	extrude	extruded	Ikstru:d	Ikstru:dId	reg
5	0	exude	exuded	Igzju:d	Igzju:dId	reg
1	0	exult	exulted	IgzVlt	IgzVltId	reg
13	1	eye	eyed	aI	aId	reg
3	0	fabricate	fabricated	f&brIkeIt	f&brIkeItId	reg
167	9	face	faced	feIs	feIst	reg
5	0	facilitate	facilitated	f@sIlIteIt	f@sIlIteItId	reg
1	0	factor	factored	f&kt@r*	f&kt@d	reg
69	4	fade	faded	feId	feIdId	reg
282	16	fail	failed	feIl	feIld	reg
11	1	faint	fainted	feInt	feIntId	reg
7	0	fake	faked	feIk	feIkt	reg
3	0	falsify	falsified	fO:lsIfaI	fO:lsIfaId	reg
10	1	falter	faltered	fO:lt@r*	fO:lt@d	reg
1	0	familiarize	familiarized	f@mIlj@raIz	f@mIlj@raIzd	reg
16	1	fancy	fancied	f&nsI	f&nsId	reg
10	1	fan	fanned	f&n	f&nd	reg
6	0	fare	fared	fE@r*	fE@d	reg
11	1	farm	farmed	fA:m	fA:md	reg
1	0	fart	farted	fA:t	fA:tId	reg
51	3	fascinate	fascinated	f&sIneIt	f&sIneItId	reg
20	1	fashion	fashioned	f&Sn,	f&Sn,d	reg
1	0	fast	fasted	fA:st	fA:stId	reg
21	1	fasten	fastened	fA:sn,	fA:sn,d	reg
3	0	father	fathered	fA:D@r*	fA:D@d	reg
1	0	fathom	fathomed	f&D@m	f&D@md	reg
4	0	fatigue	fatigued	f@ti:g	f@ti:gd	reg
4	0	fatten	fattened	f&tn,	f&tn,d	reg
2	0	fault	faulted	fO:lt	fO:ltId	reg
36	2	favour	favoured	feIv@r*	feIv@d	reg
1	0	fawn	fawned	fO:n	fO:nd	reg
1	0	faze	fazed	feIz	feIzd	reg
106	6	fear	feared	fI@r*	fI@d	reg
2	0	feast	feasted	fi:st	fi:stId	reg
8	0	feather	feathered	fED@r*	fED@d	reg
14	1	feature	featured	fi:tS@r*	fi:tS@d	reg
147	8	feed	fed	fi:d	fEd	irreg
1	0	federate	federated	fEd@reIt	fEd@reItId	reg
7	0	feign	feigned	feIn	feInd	reg
1	0	feint	feinted	feInt	feIntId	reg
485	27	fall	fell	fO:l	fEl	irreg
13	1	fell	felled	fEl	fEld	reg
1449	81	feel	felt	fi:l	fElt	irreg
7	0	fence	fenced	fEns	fEnst	reg
2	0	ferment	fermented	f@mEnt	f@mEntId	reg
1	0	ferret	ferreted	fErIt	fErItId	reg
3	0	ferry	ferried	fErI	fErId	reg
11	1	fertilize	fertilized	f3:t@laIz	f3:t@laIzd	reg
2	0	fester	festered	fEst@r*	fEst@d	reg
5	0	festoon	festooned	fEstu:n	fEstu:nd	reg
21	1	fetch	fetched	fEtS	fEtSt	reg
2	0	fete	f^eted	feIt	feItId	reg
2	0	fetter	fettered	fEt@r*	fEt@d	reg
1	0	fictionalize	fictionalized	fIkS@nl,aIz	fIkS@nl,aIzd	reg
